[0]:0 [1]:0 [2]:0 [3]:0
[0]:4141556666 [1]:1 [2]:2 [3]:193
[0]:3931310848 [1]:1 [2]:2 [3]:180
[0]:3713397629 [1]:1 [2]:2 [3]:66
[0]:3493296574 [1]:1 [2]:2 [3]:172
[0]:4286644637 [1]:1 [2]:2 [3]:57
[0]:4081402427 [1]:1 [2]:2 [3]:46
[0]:3865217338 [1]:1 [2]:2 [3]:128
[0]:3654495558 [1]:1 [2]:2 [3]:162
[0]:3447285966 [1]:1 [2]:2 [3]:201
[0]:4237407407 [1]:1 [2]:2 [3]:157
[0]:4017341956 [1]:1 [2]:2 [3]:162
[0]:3813587397 [1]:1 [2]:2 [3]:202
[0]:3609493448 [1]:1 [2]:2 [3]:144
[0]:3389626138 [1]:1 [2]:2 [3]:43
[0]:4185324371 [1]:1 [2]:2 [3]:167
[0]:3982250817 [1]:1 [2]:2 [3]:167
[0]:3773315389 [1]:1 [2]:2 [3]:215
[0]:3565478653 [1]:1 [2]:2 [3]:56
[0]:3357304848 [1]:1 [2]:2 [3]:81
[0]:4113509544 [1]:1 [2]:2 [3]:204
[0]:3909571109 [1]:1 [2]:2 [3]:140
[0]:3693396073 [1]:1 [2]:2 [3]:119
[0]:3429541647 [1]:1 [2]:2 [3]:97
[0]:4221476068 [1]:1 [2]:2 [3]:170
[0]:4013286781 [1]:1 [2]:2 [3]:157
[0]:3802154497 [1]:1 [2]:2 [3]:186
[0]:3597120501 [1]:1 [2]:2 [3]:43
[0]:3385619763 [1]:1 [2]:2 [3]:90
[0]:4181382008 [1]:1 [2]:2 [3]:43
[0]:3933283114 [1]:1 [2]:2 [3]:158
[0]:3717418332 [1]:1 [2]:2 [3]:200
[0]:3501314847 [1]:1 [2]:2 [3]:102
[0]:4273314619 [1]:1 [2]:2 [3]:215
[0]:4068953058 [1]:1 [2]:2 [3]:144
[0]:3797466724 [1]:1 [2]:2 [3]:46
[0]:3593364502 [1]:1 [2]:2 [3]:215
[0]:3385623067 [1]:1 [2]:2 [3]:163
[0]:4159716231 [1]:1 [2]:2 [3]:150
[0]:3945525002 [1]:1 [2]:2 [3]:181
[0]:3733609037 [1]:1 [2]:2 [3]:51
[0]:3521738662 [1]:1 [2]:2 [3]:85
[0]:4273437066 [1]:1 [2]:2 [3]:209
[0]:4053489358 [1]:1 [2]:2 [3]:200
[0]:3845438652 [1]:1 [2]:2 [3]:80
[0]:3633628147 [1]:1 [2]:2 [3]:55
[0]:3421458793 [1]:1 [2]:2 [3]:150
[0]:4209949176 [1]:1 [2]:2 [3]:125
[0]:3993294596 [1]:1 [2]:2 [3]:155
[0]:3781248672 [1]:1 [2]:2 [3]:218
[0]:3545602393 [1]:1 [2]:2 [3]:106
[0]:3333277708 [1]:1 [2]:2 [3]:118
[0]:4127307423 [1]:1 [2]:2 [3]:119
[0]:3925301142 [1]:1 [2]:2 [3]:78
[0]:3705967529 [1]:1 [2]:2 [3]:198
[0]:3499361781 [1]:1 [2]:2 [3]:133
[0]:4281376727 [1]:1 [2]:2 [3]:123
[0]:4058273477 [1]:1 [2]:2 [3]:39
[0]:3818500799 [1]:1 [2]:2 [3]:198
[0]:3603419293 [1]:1 [2]:2 [3]:144
[0]:3393932063 [1]:1 [2]:2 [3]:203
[0]:4177406748 [1]:1 [2]:2 [3]:90
[0]:3965157898 [1]:1 [2]:2 [3]:207
[0]:3755667547 [1]:1 [2]:2 [3]:209
[0]:3541398019 [1]:1 [2]:2 [3]:151
[0]:3325610637 [1]:1 [2]:2 [3]:156
[0]:4105512381 [1]:1 [2]:2 [3]:195
[0]:3885456923 [1]:1 [2]:2 [3]:86
[0]:3686397931 [1]:1 [2]:2 [3]:123
[0]:3473270276 [1]:1 [2]:2 [3]:176
[0]:4261694171 [1]:1 [2]:2 [3]:157
[0]:4049523761 [1]:1 [2]:2 [3]:144
[0]:3797467301 [1]:1 [2]:2 [3]:129
[0]:3596357141 [1]:1 [2]:2 [3]:168
[0]:3382058743 [1]:1 [2]:2 [3]:128
[0]:4165451679 [1]:1 [2]:2 [3]:93
[0]:3945581269 [1]:1 [2]:2 [3]:46
[0]:3712362534 [1]:1 [2]:2 [3]:141
[0]:3502295949 [1]:1 [2]:2 [3]:171
[0]:3301307084 [1]:1 [2]:2 [3]:66
[0]:4055416073 [1]:1 [2]:2 [3]:208
[0]:3837330923 [1]:1 [2]:2 [3]:164
[0]:3630363238 [1]:1 [2]:2 [3]:171
[0]:3421214329 [1]:1 [2]:2 [3]:60
[0]:4213089139 [1]:1 [2]:2 [3]:51
[0]:4001064886 [1]:1 [2]:2 [3]:104
[0]:3794048527 [1]:1 [2]:2 [3]:74
[0]:3580590759 [1]:1 [2]:2 [3]:209
[0]:3337644397 [1]:1 [2]:2 [3]:130
[0]:4128266908 [1]:1 [2]:2 [3]:193
[0]:3891164773 [1]:1 [2]:2 [3]:94
[0]:3677532936 [1]:1 [2]:2 [3]:201
[0]:3468050988 [1]:1 [2]:2 [3]:138
[0]:4255855402 [1]:1 [2]:2 [3]:195
[0]:4041428843 [1]:1 [2]:2 [3]:100
[0]:3829254636 [1]:1 [2]:2 [3]:130
[0]:3609998029 [1]:1 [2]:2 [3]:195
[0]:3394259289 [1]:1 [2]:2 [3]:146
[0]:4181313519 [1]:1 [2]:2 [3]:83
[0]:3961656583 [1]:1 [2]:2 [3]:99
[0]:3739065739 [1]:1 [2]:2 [3]:136
[0]:3519289881 [1]:1 [2]:2 [3]:187
[0]:3309704864 [1]:1 [2]:2 [3]:46
[0]:4097535831 [1]:1 [2]:2 [3]:99
[0]:3877425609 [1]:1 [2]:2 [3]:200
[0]:3678254739 [1]:1 [2]:2 [3]:128
[0]:3469334241 [1]:1 [2]:2 [3]:162
[0]:4257589146 [1]:1 [2]:2 [3]:144
[0]:4033446056 [1]:1 [2]:2 [3]:57
[0]:3821651829 [1]:1 [2]:2 [3]:186
[0]:3617531287 [1]:1 [2]:2 [3]:156
[0]:3405373806 [1]:1 [2]:2 [3]:144
[0]:4189258942 [1]:1 [2]:2 [3]:50
[0]:3977643341 [1]:1 [2]:2 [3]:177
[0]:3766054832 [1]:1 [2]:2 [3]:198
[0]:3561050397 [1]:1 [2]:2 [3]:32
[0]:3349642189 [1]:1 [2]:2 [3]:147
[0]:4133665646 [1]:1 [2]:2 [3]:173
[0]:3925650032 [1]:1 [2]:2 [3]:83
[0]:3709788728 [1]:1 [2]:2 [3]:53
[0]:3493570488 [1]:1 [2]:2 [3]:185
[0]:4253828648 [1]:1 [2]:2 [3]:28
[0]:4045437509 [1]:1 [2]:2 [3]:141
[0]:3822054973 [1]:1 [2]:2 [3]:96
[0]:3609594828 [1]:1 [2]:2 [3]:204
[0]:3399344531 [1]:1 [2]:2 [3]:192
[0]:4185587869 [1]:1 [2]:2 [3]:59
[0]:3973458446 [1]:1 [2]:2 [3]:80
[0]:3757552533 [1]:1 [2]:2 [3]:190
[0]:3545462207 [1]:1 [2]:2 [3]:154
[0]:3337702732 [1]:1 [2]:2 [3]:159
[0]:4101692253 [1]:1 [2]:2 [3]:77
[0]:3893518766 [1]:1 [2]:2 [3]:171
[0]:3669563429 [1]:1 [2]:2 [3]:120
[0]:3461847464 [1]:1 [2]:2 [3]:73
[0]:4233709654 [1]:1 [2]:2 [3]:50
[0]:4029664167 [1]:1 [2]:2 [3]:200
[0]:3813347349 [1]:1 [2]:2 [3]:90
[0]:3571066144 [1]:1 [2]:2 [3]:131
[0]:3369516786 [1]:1 [2]:2 [3]:96
[0]:4157435127 [1]:1 [2]:2 [3]:119
[0]:3881395021 [1]:1 [2]:2 [3]:172
[0]:3676835514 [1]:1 [2]:2 [3]:31
[0]:3467445282 [1]:1 [2]:2 [3]:169
[0]:4245551146 [1]:1 [2]:2 [3]:88
[0]:4026946151 [1]:1 [2]:2 [3]:95
[0]:3817437534 [1]:1 [2]:2 [3]:46
[0]:3601348946 [1]:1 [2]:2 [3]:124
[0]:3393384478 [1]:1 [2]:2 [3]:122
[0]:4185747754 [1]:1 [2]:2 [3]:46
[0]:3957592526 [1]:1 [2]:2 [3]:194
[0]:3752340404 [1]:1 [2]:2 [3]:143
[0]:3541411983 [1]:1 [2]:2 [3]:57
[0]:3324129424 [1]:1 [2]:2 [3]:39
[0]:4106595733 [1]:1 [2]:2 [3]:33
[0]:3902300019 [1]:1 [2]:2 [3]:120
[0]:3689396031 [1]:1 [2]:2 [3]:116
[0]:3477628246 [1]:1 [2]:2 [3]:64
[0]:4269721586 [1]:1 [2]:2 [3]:78
[0]:4069364918 [1]:1 [2]:2 [3]:192
[0]:3866504831 [1]:1 [2]:2 [3]:67
[0]:3657861602 [1]:1 [2]:2 [3]:109
[0]:3447665472 [1]:1 [2]:2 [3]:28
[0]:4209432011 [1]:1 [2]:2 [3]:35
[0]:3997583483 [1]:1 [2]:2 [3]:140
[0]:3785678493 [1]:1 [2]:2 [3]:127
[0]:3581507924 [1]:1 [2]:2 [3]:200
[0]:3357410477 [1]:1 [2]:2 [3]:180
[0]:4128456859 [1]:1 [2]:2 [3]:74
[0]:3920797167 [1]:1 [2]:2 [3]:55
[0]:3669793041 [1]:1 [2]:2 [3]:172
[0]:3457809253 [1]:1 [2]:2 [3]:71
[0]:4248436162 [1]:1 [2]:2 [3]:27
[0]:4043140636 [1]:1 [2]:2 [3]:65
[0]:3838855381 [1]:1 [2]:2 [3]:99
[0]:3623302597 [1]:1 [2]:2 [3]:168
[0]:3405582164 [1]:1 [2]:2 [3]:145
[0]:4197697374 [1]:1 [2]:2 [3]:60
[0]:3989817378 [1]:1 [2]:2 [3]:193
[0]:3779465001 [1]:1 [2]:2 [3]:98
[0]:3569757837 [1]:1 [2]:2 [3]:31
[0]:3358374332 [1]:1 [2]:2 [3]:169
[0]:4135538727 [1]:1 [2]:2 [3]:30
[0]:3932592983 [1]:1 [2]:2 [3]:189
[0]:3718080571 [1]:1 [2]:2 [3]:116
[0]:3500528443 [1]:1 [2]:2 [3]:192
[0]:4287344676 [1]:1 [2]:2 [3]:31
[0]:4062559746 [1]:1 [2]:2 [3]:34
[0]:3825540859 [1]:1 [2]:2 [3]:78
[0]:3609709439 [1]:1 [2]:2 [3]:127
[0]:3401743039 [1]:1 [2]:2 [3]:121
[0]:4177813074 [1]:1 [2]:2 [3]:196
[0]:3969719467 [1]:1 [2]:2 [3]:63
[0]:3749572129 [1]:1 [2]:2 [3]:55
[0]:3537733949 [1]:1 [2]:2 [3]:162
[0]:3331321699 [1]:1 [2]:2 [3]:171
[0]:4125741681 [1]:1 [2]:2 [3]:191
[0]:3920862636 [1]:1 [2]:2 [3]:106
[0]:3712827338 [1]:1 [2]:2 [3]:56
[0]:3494437434 [1]:1 [2]:2 [3]:113
[0]:4285919696 [1]:1 [2]:2 [3]:153
[0]:4077960623 [1]:1 [2]:2 [3]:87
[0]:3861920621 [1]:1 [2]:2 [3]:197
[0]:3645621517 [1]:1 [2]:2 [3]:200
[0]:3445897434 [1]:1 [2]:2 [3]:156
[0]:4201958448 [1]:1 [2]:2 [3]:104
[0]:3997861026 [1]:1 [2]:2 [3]:54
[0]:3794372632 [1]:1 [2]:2 [3]:153
[0]:3570501444 [1]:1 [2]:2 [3]:43
[0]:3359728577 [1]:1 [2]:2 [3]:126
[0]:4147006196 [1]:1 [2]:2 [3]:187
[0]:3930914328 [1]:1 [2]:2 [3]:160
[0]:3721909902 [1]:1 [2]:2 [3]:149
[0]:3501552164 [1]:1 [2]:2 [3]:75
[0]:4293767296 [1]:1 [2]:2 [3]:148
[0]:4077871093 [1]:1 [2]:2 [3]:199
[0]:3869929611 [1]:1 [2]:2 [3]:34
[0]:3649529101 [1]:1 [2]:2 [3]:193
[0]:3437902131 [1]:1 [2]:2 [3]:189
[0]:4225904159 [1]:1 [2]:2 [3]:95
[0]:4013891861 [1]:1 [2]:2 [3]:192
[0]:3813708408 [1]:1 [2]:2 [3]:160
[0]:3601786864 [1]:1 [2]:2 [3]:148
[0]:3397698889 [1]:1 [2]:2 [3]:199
[0]:4178790047 [1]:1 [2]:2 [3]:103
[0]:3949395884 [1]:1 [2]:2 [3]:31
[0]:3737813962 [1]:1 [2]:2 [3]:198
[0]:3533892338 [1]:1 [2]:2 [3]:191
[0]:3308069271 [1]:1 [2]:2 [3]:213
[0]:4090367167 [1]:1 [2]:2 [3]:156
[0]:3877811772 [1]:1 [2]:2 [3]:177
[0]:3657952041 [1]:1 [2]:2 [3]:168
[0]:3445764146 [1]:1 [2]:2 [3]:215
[0]:4166589322 [1]:1 [2]:2 [3]:191
[0]:3954899278 [1]:1 [2]:2 [3]:203
[0]:3749787061 [1]:1 [2]:2 [3]:63
[0]:3541132459 [1]:1 [2]:2 [3]:88
[0]:3336459128 [1]:1 [2]:2 [3]:205
[0]:4138233272 [1]:1 [2]:2 [3]:188
[0]:3913940332 [1]:1 [2]:2 [3]:188
[0]:3691726027 [1]:1 [2]:2 [3]:210
[0]:3483028122 [1]:1 [2]:2 [3]:208
[0]:4263552479 [1]:1 [2]:2 [3]:114
[0]:4033883268 [1]:1 [2]:2 [3]:217
[0]:3810045897 [1]:1 [2]:2 [3]:88
[0]:3589688711 [1]:1 [2]:2 [3]:206
[0]:3386036018 [1]:1 [2]:2 [3]:168
[0]:4179023398 [1]:1 [2]:2 [3]:177
[0]:3978192052 [1]:1 [2]:2 [3]:150
[0]:3737146806 [1]:1 [2]:2 [3]:160
[0]:3534062548 [1]:1 [2]:2 [3]:190
[0]:3326398164 [1]:1 [2]:2 [3]:51
[0]:4117713387 [1]:1 [2]:2 [3]:85
[0]:3909957152 [1]:1 [2]:2 [3]:214
[0]:3700100623 [1]:1 [2]:2 [3]:84
[0]:3494295867 [1]:1 [2]:2 [3]:206
[0]:4285881783 [1]:1 [2]:2 [3]:120
